clip	duration[ms]
common_voice_sr_38523469.mp3	2340
common_voice_sr_39884986.mp3	4284
common_voice_sr_36951781.mp3	2268
common_voice_sr_46827117.mp3	5868
common_voice_sr_40989464.mp3	5976
common_voice_sr_40977499.mp3	2268
common_voice_sr_40981319.mp3	3816
common_voice_sr_36951804.mp3	1764
common_voice_sr_27794963.mp3	2340
common_voice_sr_40609197.mp3	4464
common_voice_sr_41031283.mp3	1908
common_voice_sr_36765840.mp3	2232
common_voice_sr_40977748.mp3	2700
common_voice_sr_28452679.mp3	2340
common_voice_sr_39330463.mp3	3276
common_voice_sr_40985839.mp3	4500
common_voice_sr_41012938.mp3	2088
common_voice_sr_35086561.mp3	2520
common_voice_sr_39254865.mp3	6048
common_voice_sr_28441334.mp3	2376
common_voice_sr_40975749.mp3	3816
common_voice_sr_36765482.mp3	2124
common_voice_sr_36994442.mp3	3024
common_voice_sr_28216707.mp3	2520
common_voice_sr_36946613.mp3	2376
common_voice_sr_45994985.mp3	3204
common_voice_sr_39884983.mp3	4212
common_voice_sr_38531812.mp3	1944
common_voice_sr_40491656.mp3	5112
common_voice_sr_36949245.mp3	2916
common_voice_sr_26945482.mp3	2484
common_voice_sr_39885018.mp3	4428
common_voice_sr_39936664.mp3	6516
common_voice_sr_35091660.mp3	2952
common_voice_sr_40981593.mp3	2268
common_voice_sr_27008178.mp3	2880
common_voice_sr_35399754.mp3	1764
common_voice_sr_36950176.mp3	2556
common_voice_sr_40981804.mp3	5688
common_voice_sr_35084392.mp3	2268
common_voice_sr_40985632.mp3	2088
common_voice_sr_40991054.mp3	3636
common_voice_sr_45994555.mp3	3600
common_voice_sr_35099275.mp3	2808
common_voice_sr_28526236.mp3	2628
common_voice_sr_36950241.mp3	2736
common_voice_sr_27675768.mp3	1980
common_voice_sr_28521280.mp3	1764
common_voice_sr_40385960.mp3	4500
common_voice_sr_27636275.mp3	2628
common_voice_sr_27655264.mp3	3636
common_voice_sr_40985163.mp3	2448
common_voice_sr_40981358.mp3	3996
common_voice_sr_28623211.mp3	3060
common_voice_sr_29138990.mp3	1980
common_voice_sr_27635297.mp3	3096
common_voice_sr_40975630.mp3	5508
common_voice_sr_41012787.mp3	2736
common_voice_sr_38847187.mp3	4896
common_voice_sr_27655591.mp3	3276
common_voice_sr_28521420.mp3	1584
common_voice_sr_41001661.mp3	4824
common_voice_sr_41006410.mp3	1908
common_voice_sr_35399505.mp3	1368
common_voice_sr_40991082.mp3	3528
common_voice_sr_40983624.mp3	3708
common_voice_sr_40997547.mp3	2088
common_voice_sr_27675555.mp3	2052
common_voice_sr_40982873.mp3	2880
common_voice_sr_40977503.mp3	3060
common_voice_sr_36946739.mp3	2448
common_voice_sr_27781366.mp3	2556
common_voice_sr_36994253.mp3	4500
common_voice_sr_38531842.mp3	3528
common_voice_sr_39884979.mp3	5148
common_voice_sr_40983562.mp3	2268
common_voice_sr_40975615.mp3	3600
common_voice_sr_36767239.mp3	2412
common_voice_sr_40977908.mp3	2700
common_voice_sr_37810651.mp3	3312
common_voice_sr_40978627.mp3	3060
common_voice_sr_40977423.mp3	5580
common_voice_sr_38509113.mp3	4716
common_voice_sr_35360784.mp3	2376
common_voice_sr_40982630.mp3	2340
common_voice_sr_26959019.mp3	2808
common_voice_sr_38833194.mp3	3060
common_voice_sr_38515510.mp3	3312
common_voice_sr_36971079.mp3	3492
common_voice_sr_26874405.mp3	2628
common_voice_sr_36949448.mp3	5580
common_voice_sr_27781251.mp3	2448
common_voice_sr_27781428.mp3	2196
common_voice_sr_27655588.mp3	3060
common_voice_sr_38523505.mp3	3888
common_voice_sr_35085162.mp3	2340
common_voice_sr_40991287.mp3	2808
common_voice_sr_27675923.mp3	2376
common_voice_sr_40983999.mp3	2340
common_voice_sr_40977422.mp3	6696
common_voice_sr_35265127.mp3	2268
common_voice_sr_38845596.mp3	2988
common_voice_sr_40997702.mp3	3708
common_voice_sr_40983637.mp3	2016
common_voice_sr_40983532.mp3	2736
common_voice_sr_38521593.mp3	2268
common_voice_sr_40980285.mp3	2520
common_voice_sr_36774509.mp3	2628
common_voice_sr_27675948.mp3	1872
common_voice_sr_36804178.mp3	2196
common_voice_sr_35099258.mp3	2556
common_voice_sr_41012857.mp3	2016
common_voice_sr_40878522.mp3	3960
common_voice_sr_39271870.mp3	5076
common_voice_sr_37810676.mp3	3960
common_voice_sr_26960172.mp3	2556
common_voice_sr_40985454.mp3	2448
common_voice_sr_41029112.mp3	2016
common_voice_sr_35085128.mp3	2556
common_voice_sr_37523127.mp3	3708
common_voice_sr_38521577.mp3	2484
common_voice_sr_38521575.mp3	1908
common_voice_sr_35090117.mp3	2988
common_voice_sr_27314180.mp3	2376
common_voice_sr_35099241.mp3	2592
common_voice_sr_36773294.mp3	3780
common_voice_sr_27636329.mp3	2700
common_voice_sr_28521381.mp3	1332
common_voice_sr_41017411.mp3	2160
common_voice_sr_37517784.mp3	4284
common_voice_sr_37517872.mp3	3492
common_voice_sr_48250900.mp3	2376
common_voice_sr_40989406.mp3	3240
common_voice_sr_40491639.mp3	3528
common_voice_sr_28526342.mp3	2520
common_voice_sr_40975538.mp3	5796
common_voice_sr_35099231.mp3	2736
common_voice_sr_35099261.mp3	3096
common_voice_sr_40386359.mp3	4428
common_voice_sr_27675667.mp3	2592
common_voice_sr_38509218.mp3	2988
common_voice_sr_35086767.mp3	5040
common_voice_sr_35091327.mp3	2016
common_voice_sr_37810745.mp3	3888
common_voice_sr_41031300.mp3	2736
common_voice_sr_40985130.mp3	2448
common_voice_sr_37315309.mp3	4140
common_voice_sr_40491762.mp3	3420
common_voice_sr_39884994.mp3	5616
common_voice_sr_36951817.mp3	2304
common_voice_sr_40977002.mp3	3708
common_voice_sr_39330723.mp3	2916
common_voice_sr_39316371.mp3	4428
common_voice_sr_40987721.mp3	4176
common_voice_sr_36765769.mp3	2088
common_voice_sr_26959851.mp3	2376
common_voice_sr_40979949.mp3	4788
common_voice_sr_28521359.mp3	1800
common_voice_sr_40989470.mp3	2016
common_voice_sr_40985930.mp3	3708
common_voice_sr_35085249.mp3	2448
common_voice_sr_39263259.mp3	4428
common_voice_sr_35085182.mp3	2448
common_voice_sr_40977410.mp3	3708
common_voice_sr_35101536.mp3	5040
common_voice_sr_38508398.mp3	2628
common_voice_sr_36838918.mp3	2628
common_voice_sr_41325022.mp3	2232
common_voice_sr_40983503.mp3	5220
common_voice_sr_36946850.mp3	2988
common_voice_sr_35086761.mp3	3816
common_voice_sr_35125163.mp3	2988
common_voice_sr_36950576.mp3	3420
common_voice_sr_40978469.mp3	3816
common_voice_sr_40975841.mp3	2988
common_voice_sr_36950065.mp3	2160
common_voice_sr_40997573.mp3	5508
common_voice_sr_41012789.mp3	2628
common_voice_sr_41010419.mp3	4320
common_voice_sr_40977430.mp3	2916
common_voice_sr_40985667.mp3	1800
common_voice_sr_40977700.mp3	1980
common_voice_sr_46917928.mp3	4176
common_voice_sr_28441432.mp3	2160
common_voice_sr_27675797.mp3	2124
common_voice_sr_28526410.mp3	2268
common_voice_sr_35098166.mp3	2196
common_voice_sr_40405826.mp3	3528
common_voice_sr_40985153.mp3	5580
common_voice_sr_36765310.mp3	4284
common_voice_sr_37259386.mp3	2448
common_voice_sr_37391312.mp3	4176
common_voice_sr_40975748.mp3	4500
common_voice_sr_39936656.mp3	6300
common_voice_sr_37810823.mp3	6228
common_voice_sr_40921728.mp3	4176
common_voice_sr_27655712.mp3	3168
common_voice_sr_36934732.mp3	2592
common_voice_sr_43069439.mp3	4248
common_voice_sr_46919010.mp3	4896
common_voice_sr_37810824.mp3	3672
common_voice_sr_36774762.mp3	3060
common_voice_sr_38515519.mp3	3312
common_voice_sr_40991048.mp3	3960
common_voice_sr_36950111.mp3	2700
common_voice_sr_41013038.mp3	2916
common_voice_sr_40991263.mp3	5580
common_voice_sr_40977664.mp3	5040
common_voice_sr_39257238.mp3	3348
common_voice_sr_36765572.mp3	2484
common_voice_sr_37810728.mp3	2844
common_voice_sr_38511426.mp3	3600
common_voice_sr_27781267.mp3	4068
common_voice_sr_35099172.mp3	3888
common_voice_sr_40985444.mp3	2808
common_voice_sr_38535676.mp3	1656
common_voice_sr_35098179.mp3	2160
common_voice_sr_36793361.mp3	2628
common_voice_sr_37810625.mp3	5364
common_voice_sr_35089329.mp3	3348
common_voice_sr_38523426.mp3	2304
common_voice_sr_26874306.mp3	2160
common_voice_sr_28517844.mp3	4680
common_voice_sr_28441420.mp3	2340
common_voice_sr_36951800.mp3	2052
common_voice_sr_26960004.mp3	2556
common_voice_sr_40975777.mp3	3816
common_voice_sr_35399880.mp3	1584
common_voice_sr_40985453.mp3	3420
common_voice_sr_28521365.mp3	1656
common_voice_sr_36950144.mp3	2448
common_voice_sr_40981839.mp3	2520
common_voice_sr_40977782.mp3	2268
common_voice_sr_40386194.mp3	4500
common_voice_sr_38525985.mp3	1908
common_voice_sr_31333216.mp3	4536
common_voice_sr_27014859.mp3	2736
common_voice_sr_40975996.mp3	2016
common_voice_sr_26958524.mp3	2556
common_voice_sr_41006356.mp3	2268
common_voice_sr_40977003.mp3	5220
common_voice_sr_40978569.mp3	2268
common_voice_sr_35099246.mp3	5436
common_voice_sr_40471779.mp3	1980
common_voice_sr_36765424.mp3	2340
common_voice_sr_38526022.mp3	2520
common_voice_sr_41017399.mp3	2340
common_voice_sr_37254720.mp3	5868
common_voice_sr_46918774.mp3	6300
common_voice_sr_37810714.mp3	2484
common_voice_sr_40982682.mp3	2088
common_voice_sr_35090150.mp3	2880
common_voice_sr_35090740.mp3	2520
common_voice_sr_37810852.mp3	6228
common_voice_sr_38508415.mp3	2664
common_voice_sr_40979927.mp3	2556
common_voice_sr_28526558.mp3	2556
common_voice_sr_40471813.mp3	5148
common_voice_sr_40471815.mp3	6624
common_voice_sr_38523430.mp3	1908
common_voice_sr_38509135.mp3	4392
common_voice_sr_40983436.mp3	4320
common_voice_sr_37810777.mp3	3960
common_voice_sr_40975770.mp3	3636
common_voice_sr_40982617.mp3	2448
common_voice_sr_36950187.mp3	2556
common_voice_sr_27675606.mp3	2340
common_voice_sr_37206890.mp3	2808
common_voice_sr_36949973.mp3	2988
common_voice_sr_38509122.mp3	2772
common_voice_sr_35097126.mp3	3096
common_voice_sr_40978776.mp3	1980
common_voice_sr_27655727.mp3	3636
common_voice_sr_36765642.mp3	2448
common_voice_sr_41024471.mp3	1908
common_voice_sr_27675739.mp3	1944
common_voice_sr_40981283.mp3	2988
common_voice_sr_45995076.mp3	3276
common_voice_sr_35278230.mp3	2340
common_voice_sr_38845575.mp3	4860
common_voice_sr_35085260.mp3	1836
common_voice_sr_36793432.mp3	2376
common_voice_sr_27636515.mp3	2916
common_voice_sr_40974203.mp3	3528
common_voice_sr_40979959.mp3	2376
common_voice_sr_40975844.mp3	4968
common_voice_sr_35109108.mp3	2520
common_voice_sr_40983570.mp3	2340
common_voice_sr_43194598.mp3	4896
common_voice_sr_40977508.mp3	5256
common_voice_sr_40386156.mp3	5976
common_voice_sr_27781297.mp3	2268
common_voice_sr_39936568.mp3	7128
common_voice_sr_38515498.mp3	1980
common_voice_sr_36946709.mp3	2736
common_voice_sr_36774029.mp3	2736
common_voice_sr_40989432.mp3	4140
common_voice_sr_40981152.mp3	4320
common_voice_sr_35278245.mp3	2016
common_voice_sr_40976929.mp3	4788
common_voice_sr_36994283.mp3	3276
common_voice_sr_36949241.mp3	2628
common_voice_sr_26960671.mp3	2016
common_voice_sr_40985892.mp3	3816
common_voice_sr_40975604.mp3	2448
common_voice_sr_40978498.mp3	2700
