sentence_id	sentence	locale	reason
42e5256cc03ceeb314dd75dec018909fe35b1b47a1e026fbc3405d4a36fdc6ed	хоризонтала а и јот ер ес ш	sr	difficult-pronounce
527362ee799d42f621dc459dfa52eef94c541c8c030f773726e9a48ed4392fa8	хоризонтала ве ел ћ	sr	grammar-or-spelling
527362ee799d42f621dc459dfa52eef94c541c8c030f773726e9a48ed4392fa8	хоризонтала ве ел ћ	sr	difficult-pronounce
6c69d230a9cc939617225a4e9a38d07429fb92435bc90b991e1686030b549938	ни ну	sr	difficult-pronounce
948696d39ee1452573e4b654a6158408af5b50ecc0295229e361999f2a065fc5	хоризонтала е њ це 	sr	grammar-or-spelling
94f2d85a297064345792d2ae1d2c5158b58ef917bc896a5c3fb6843ae0b47ec4	Меđутим, ситуација се измијенила.	sr	grammar-or-spelling
94f2d85a297064345792d2ae1d2c5158b58ef917bc896a5c3fb6843ae0b47ec4	Меđутим, ситуација се измијенила.	sr	grammar-or-spelling
980f70bcdeae15b985f948835f816430e72fa576e3b936ba7c6b71a2d82c07b4	"Двије старије госпоđе такоđер је однијела вода," каже он."	sr	grammar-or-spelling
980f70bcdeae15b985f948835f816430e72fa576e3b936ba7c6b71a2d82c07b4	"Двије старије госпоđе такоđер је однијела вода," каже он."	sr	different-language
980f70bcdeae15b985f948835f816430e72fa576e3b936ba7c6b71a2d82c07b4	"Двије старије госпоđе такоđер је однијела вода," каже он."	sr	grammar-or-spelling
980f70bcdeae15b985f948835f816430e72fa576e3b936ba7c6b71a2d82c07b4	"Двије старије госпоđе такоđер је однијела вода," каже он."	sr	croatian + not letters are cyrillic
9af46e636897cde466c42ed77e3732d272dd278e01987560f22ccd2237903989	Он је такоđер предсједникове коментаре оцијенио збуњујућим.	sr	grammar-or-spelling
a4a33f7bd0bb8b8dfaa633fe05a36b9a59f51c027bd145ae95c45b3af5c0232b	Њиме се такоđер апелира на смањење цијена у сектору телекомуникација.	sr	grammar-or-spelling
a4a33f7bd0bb8b8dfaa633fe05a36b9a59f51c027bd145ae95c45b3af5c0232b	Њиме се такоđер апелира на смањење цијена у сектору телекомуникација.	sr	grammar-or-spelling
a4a33f7bd0bb8b8dfaa633fe05a36b9a59f51c027bd145ae95c45b3af5c0232b	Њиме се такоđер апелира на смањење цијена у сектору телекомуникација.	sr	different-language
ab1c26708f70c271a005edeb45649df69ef84624a4f274e8c35fdb3b84145e53	Лјуди су убијени, куће спаљене.	sr	grammar-or-spelling
b21da6298562a6847668d217087d2b98a65316d3f2cf51dbb355dd9dbd010498	Те га доји за неђељу дана,	sr	different-language
beae625b09b3bccb174c76d89a60fcf35fe32ed63f0a55e80532d90c5f2a6355	Меđутим, то се мијења.	sr	grammar-or-spelling
d13a9601a3709a812d470369f53c859bcca237953c1b7298e31e78181d492f93	петесет	sr	grammar-or-spelling
dee3e01791c616482c0417f949bc726cdfbaf3f8aa8c9de906abe8682e4f7218	А одсаде моје чедо драго!	sr	grammar-or-spelling
051ce83d3481b9fe0389f6922f4b31b4b250b51766688326e353366fb828946d	респективно аб, бв, вг, ... , џш.	sr	difficult-pronounce
10133dad79bc321d8571fdb2fefe7342597ad877208c3ca89a6878d732845ae0	стерноклеидомастоидеус	sr	difficult-pronounce
111eedf910433179abea3a4249b842ebd76b2ad30468e3520bf1126c86370f90	на ан не ен ни ин но он ну ун	sr	grammar-or-spelling
111eedf910433179abea3a4249b842ebd76b2ad30468e3520bf1126c86370f90	на ан не ен ни ин но он ну ун	sr	difficult-pronounce
1ac4de3ccd4b7540fd9110eb9ed36b11ed42e288fdc111575adfdf691b4a92a8	на на	sr	grammar-or-spelling
413d04dd535ec664f255f3b510b1f304b7136134bbafdbd55cf2f3a40727766a	дијагонала а ве де	sr	difficult-pronounce
61fc61e206796ee6c995d5bfcd8f7ca8906b691d695a0a28f657969199276388	хоризонтала бе ка те	sr	grammar-or-spelling
61fc61e206796ee6c995d5bfcd8f7ca8906b691d695a0a28f657969199276388	хоризонтала бе ка те	sr	difficult-pronounce
6346a2643b998a12406df52f184d61bdbc20f51d8c41259d38b46a5b31b316bb	Тимофти ступа на функцију након тијесног прошлоседмичног гласања.	sr	difficult-pronounce
74ca3c6a91466a9a5306a27c66c4d5bacb2f57f2dab20b12309428d3e59383a1	дијагонала ге ве бе	sr	difficult-pronounce
74ca3c6a91466a9a5306a27c66c4d5bacb2f57f2dab20b12309428d3e59383a1	дијагонала ге ве бе	sr	grammar-or-spelling
75f5d47ef72fa5d2bf57649de15bf8ec4686bf5a8bd1748fae472ffbecac3c79	"Курдски "денгбеј", традиција усменог приповиједања и пјесме, опстаје већ стољећима."	sr	different-language
75f5d47ef72fa5d2bf57649de15bf8ec4686bf5a8bd1748fae472ffbecac3c79	"Курдски "денгбеј", традиција усменог приповиједања и пјесме, опстаје већ стољећима."	sr	difficult-pronounce
87cb4b46b5a9518d706d3c8ca7ef79fa8128197f2ef97a6cd5cda767454cd911	Посвуда су и знакови с удаљеношћу до пријестолница шенгенске зоне.	sr	difficult-pronounce
87cb4b46b5a9518d706d3c8ca7ef79fa8128197f2ef97a6cd5cda767454cd911	Посвуда су и знакови с удаљеношћу до пријестолница шенгенске зоне.	sr	different-language
8847281233e9ada613a70b648fe41ffc8d266ab2b26f39b72bd523b5093712ba	Румунији пријети криза у здравству	sr	different-language
8847281233e9ada613a70b648fe41ffc8d266ab2b26f39b72bd523b5093712ba	Румунији пријети криза у здравству	sr	jekavian
919f7113c246062844c87bb00ee5f712be2c7a79622f91f782bca70c7e5b190b	Ниједан меđутим није успио кући понијети главну награду.	sr	grammar-or-spelling
9228f67c02379bf0b07fa4b0bcd8872906306e5e093837e6a93cdc22fcd7ca25	Зиђите је кули у темеља:	sr	grammar-or-spelling
9228f67c02379bf0b07fa4b0bcd8872906306e5e093837e6a93cdc22fcd7ca25	Зиђите је кули у темеља:	sr	difficult-pronounce
92408617d59e0defb9d5b88a2049bc0045011a5d0dd021bb19e7c86940e4db9e	Милинић каже да је он требао раније доћи на лијечење.	sr	jekavian
9255fabff23db630842968a072d48df3fac641cb8015f7ec1bab8b2c57ee99f3	са ни да па ма га ри са	sr	difficult-pronounce
9255fabff23db630842968a072d48df3fac641cb8015f7ec1bab8b2c57ee99f3	са ни да па ма га ри са	sr	grammar-or-spelling
98065bf4af74301414f75aa5fb04e91108ed358085d2d16280480f5b7be2c36d	Документ је послан институцијама и меđународним тијелима у земљи.	sr	grammar-or-spelling
98e0ec5b177bcc3b306d0be5669f8710185865a383c4c5c0cbac1bf9c1940531	Најважније вијести по земљама	sr	different-language
98e0ec5b177bcc3b306d0be5669f8710185865a383c4c5c0cbac1bf9c1940531	Најважније вијести по земљама	sr	jekavian
