sentence_id	sentence	variant	sentence_domain	source	up_votes	down_votes	status
0042845b6a65767a1c0e4b363a4ec42b9e3086eae72536122fd80d414cc47886	Меđутим, јавно мнијење функционира на један другачији начин.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
0190db822ef8233760967b9c375fbfebecdc01ad42f6046ce524f00204d84e76	Постоји значајан меđународни притисак на стране да ријеше свој спор.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
01bc79fa0f0461e39962906f71e2c4c79dcdd5cc6db4b62b764080702fc78119	Потписивање тог споразума представља огроман корак напријед у меđусобној сарадњи.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
0297e4868efce8291d0f19b7b0a729c1c561aa8cf23aa534e779b74420a20714	Корист друштвених медија није меđутим ограничена на повећање културне свијести.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
02c072da50607ed7770def9742cd0c5618b084ee086cb52654409c15d879e5a3	Сараđујемо меđусобно и имамо средину у којој влада разумијевање.			SETimes corpus for Bosnian, transliterated to Cyrillic.	0	2	rejected
033b1e7137e9b74ae8bf8476ebbb2b47923c2c20cd942c2d236535dc79f20c52	Нацрт ће бити прослијеđен парламенту.			SETimes corpus for Bosnian, transliterated to Cyrillic.	0	2	rejected
048c576a3f6301507bca01b9fcab33804b8fdf5602779b1a441cf67b68bdb858	Који уређаји су највећи потрошачи струје?		technology_robotics	Self citation	0	0	pending
051ab59aadc173afdaa4002d4c05fcf78166f414682dd9becaf82f74c6d761d6	Ако доđе до економског раста, ми ћемо то обезбиједити.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
0533e27a0160fcda69d3c8eb45cdef9de4ad140d2b861e0f450ed06523efc0b7	ДиЦарло је у основи поновила исте ријечи.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
068db2856b3334fedacdf6cc2f014daf2d522d47ddc2c5a643a08bb08cb92851	Да ли се познајемо?		language_fundamentals	Self Citation	1	0	pending
07624956fdfccb455acf8c74073143eaae7236f54b5a8a513fc46716ed173c99	Звијезда програма, меđутим, поклонила се и изашла прије времена.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
0767002500ae5a30abfced87a6a6ee810fe012e2cd91a3500bc9f3c7f2cca380	Многи обични навијачи сад оклијевају да доđу на утакмице.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
079140a1a34735275084427d7a3505f784880dc5f5a6aebeff26988f45a6dc21	Повријеđено је шест људи, али се очекује њихов опоравак.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	2	rejected
