sentence_id	sentence	variant	sentence_domain	source	is_used	clips_count
39d1582a0e7e6e5df3058ddbbdaf1399f669e16f228de77a4178c59cee2f0269	је ед да ан, јед еда дан, једа едан, један десет			мој цитат	1	0
3d6dfdf0c39e0a6645950d9d813420f3d85f682f09ec06a754ac9ce336109b76	но ни но ни на на			мој цитат	1	0
42e5256cc03ceeb314dd75dec018909fe35b1b47a1e026fbc3405d4a36fdc6ed	хоризонтала а и јот ер ес ш			мој цитат	1	0
4950e0728e73bfa770cefdd88a4117563ea5d598bf8837576499be66aa5749b4	ка варга ћа варга свара			мој цитат	1	0
527362ee799d42f621dc459dfa52eef94c541c8c030f773726e9a48ed4392fa8	хоризонтала ве ел ћ			мој цитат	1	0
52fae2c93bcfdd278cc0982d78ae67621ff27af6ef2a75a10cdaae4c3d16118b	Колики је пречник круга?		technology_robotics	Self citation	1	0
6c69d230a9cc939617225a4e9a38d07429fb92435bc90b991e1686030b549938	ни ну			мој цитат	1	0
7d97cb25534de128f8834b703ea1f3f9caaf68faabbf2fd80d1680b1099d2327	За а, ш, аш, м, н, мн, ма, шм, на, шм, десет дана.			мој цитат	1	0
819987fb4bfbb6480dd0cf6eb73c215f54eac0c83c9df1c01c8842c649194514	уторак			мој цитат.	1	0
9040e81dd39531a510da0475101ed12f79c6aa7ff9de41e55c1e4ca605ee2b20	То крајње вриједно српско православно благо је глобално благо.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
948696d39ee1452573e4b654a6158408af5b50ecc0295229e361999f2a065fc5	хоризонтала е њ це 			мој цитат	1	0
94f2d85a297064345792d2ae1d2c5158b58ef917bc896a5c3fb6843ae0b47ec4	Меđутим, ситуација се измијенила.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
980f70bcdeae15b985f948835f816430e72fa576e3b936ba7c6b71a2d82c07b4	"""Двије старије госпоđе такоđер је однијела вода,"" каже он."""			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
983fec0b484233a5c213691c2d78f607878cc21d8a22ba08a160e3e17ae19f09	Де еј ја ан, деј еја јан, деја ејан, дејан, Један.			мој цитат	1	0
98ea5acf33a51739eda2720243114ea66bf92341b807e87eb05aa62bfd3d1492	"""Избор је обављен путем такозваног ""апостолског жријебе""."""			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
9a91fd671d0a99f6101d1f0248f49e180fc47777cc9e6b473533a295b1e7d16f	Ал' говори Мрњавчевић Гојко:			"""Serbian folk poem ""Zidanje skadra"""	1	0
9af46e636897cde466c42ed77e3732d272dd278e01987560f22ccd2237903989	Он је такоđер предсједникове коментаре оцијенио збуњујућим.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
a4a33f7bd0bb8b8dfaa633fe05a36b9a59f51c027bd145ae95c45b3af5c0232b	Њиме се такоđер апелира на смањење цијена у сектору телекомуникација.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
a6412e89997e0b408e60ed4dd469629505f91964ea65e9b59ed407925a255a84	Астронаути путују у свемир помоћу ракета и свемирских бродова.		nature_environment	LLM generated, Human reviewed	1	0
ac9f56e69f7e1249cbf367eb889f3cec9066873cfbab2aa6869a5369deb68f87	два три			мој цитат	1	0
b21da6298562a6847668d217087d2b98a65316d3f2cf51dbb355dd9dbd010498	Те га доји за неђељу дана,			"""Serbian folk poem ""Zidanje skadra"""	1	0
bea9b30c9160b20a874eb0c970bba3f51fcbb9796e2e353f5996db5bb19c4426	То је велики догађај за читав регион.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
beae625b09b3bccb174c76d89a60fcf35fe32ed63f0a55e80532d90c5f2a6355	Меđутим, то се мијења.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
bf2e4f3abd1451b0af80481ebc6860df384ffd2439956433b02d659d1ded0186	Филм је похваљен због прелијепо израđених слика природе.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
bf3f4b6a616de0947ad4891bdbd65b8de687fc56e3d92768e51d6866425a6981	Дискриминација је и даље раширена.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
bf527c8d242d8a179c890d1116da4e877a22ec5850342ec8f56a0bbba0ab308f	Перспективе пиваре чине се стабилним.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
bf6e17846ec8481191232166e18860b055021fa2b7ccfac200a4fda3f3334536	Пресуда ће бити изречена касније ове године.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
bf7625b2418fc17db58dc170f544529764a9576bb58d986095c709c9e655cf2b	Заслепила сила турска			"""Serbian folk poem ""Otac"""	1	0
bfec3f3bc1a0ad1e2326ddb00a14453a7cf02da3fee0d7e3836f425cef3b0cb7	Не осећамо се поражено.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c029efe43cbf9e2e566a3cd99c9fe981034713456808a923c015d5b01e374e97	Медитерански филмски фестивал.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c0328db3830489574aa01503f3dcc37d29fd72357155fbb88396930a6d6cba43	Србијански потрошачи сносе терет великих малопродајних цијена; интервенирала влада			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c0f5b830762057faf8e72b0e0ac3688db6fb7a921178a14f9a96fd374a798dc0	Мишљење у оквиру заједнице изгледа да је помијешано.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c1521d679dd479e971f63a056abdfe364e4532944c00b6bf033c1034e5a56241	Кратка историја македонског политичког плурализма проткана је контроверзама.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c1c339e842acb5165bb02e81b2332b8fd4900f63de911750f08da8d65a5840d8	Србија се, у међувремену, и даље противи независности.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c24cc3108b1ed5dbe0bfb6c3d0a701a448940bc5b8f8def3b3101f4219664c29	Тад отежа дрвље и камење;			"""Serbian folk poem ""Zidanje skadra"""	1	0
c26be025b4ec2d468dbb0dc971dc1e6d1364b20eeeaff1ef35a6f6f70f3ffe48	Етнички џез фестивал.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c2dd0643f1c051552bb0b3d68ddd22c590e34300475cbe631f5c9b6ec171209a	Планина је висока и пуна шума.		nature_environment	LLM generated, Human reviewed	1	0
c2e7827e47429baea9d3b18b453e4518a965d1e931245a06b06ff2fe51e7bde2	Вулканска активност ствара нове облике терена.		nature_environment	LLM generated, Human reviewed	1	0
c33bd9c7e036ea544bc192cffd2115a7d8179d05621c30aa88df4e76c01a3874	А сад опростивши се			мој цитат	1	0
c35c9eeb03425a9ba716973c640fed695c1b6f0c8837d35395bf53670ed69d71	Два су главна аспекта тог питања.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c36804eaa81bfedcbdc26f23c5a87b2de6c12318457aee2c55100f4a12e8317b	Влада десног центра позива на јединство против насиља.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c38d4999bc53507125af273a2726b1fd80a5f4d1e3c48ab6e861374d332fd369	чини по вољи			мој цитат	1	0
c3b21544373754341b7051e2c66ceed3d8ec5f802d03ac0c623e1a252e493135	У свакога има вјерна љуба;			"""Serbian folk poem ""Zidanje skadra"""	1	0
c3b7351c73ce79e1affa94a674752aae328eb6dbb5bd5ff90dcc2d148413c05f	Вијећница је била једна од званичних локација фестивала.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c40abbdcc078707dcebfc1c09f0382e32968fa822d0a6ae371cfc0cdb94f190b	Због тога су предвиђене заједничке вежбе обуке.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c52faf955770384908f31b21276de0fcc3e0abe065ec95c0287c574a62da159f	"""Не мучи се, Вукашине краље,"""			"""Serbian folk poem ""Zidanje skadra"""	1	0
c5db397e77e9cf45f8ef73bc38540cfd9c7bf0c251ac0db9d518a880135564ee	Планинари се могу пењати по окомитим зидовима од стијена			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c63f929f433b7b487be37e813bd9cda9b23c3e3aad3041788776d195ab1cb2c6	Очекује се да ће пријем почети у наредној академској години.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c6e6549e4288d572274f451052c761900318eff89afafc5dfe9c9fd0e9b88b5a	и имаше дванаестора врата			мој цитат	1	0
c6ffa8896638181e670661fe88762c1d5ad56db63d54b69d22ff537cf02f7bed	Пулски филмски фестивал.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c7a5639f258956a6b2e3c74e579064528a08f45a25bcaeeefc9d4c9903da8f93	Павловићева и даље наступа у београдским џез клубовима.			https://sr.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B4%D0%B0_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%9B	1	0
c7a8e634ccdc3fff4c81f5691e4de6be21f3375c39646ea084189ce289c93a94	Албанија тек треба да инвестира у пројекат.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c7f5ef9b0cf7a22c8aed0169180677eb607ad9493cf6a36236d4851bcc7d3780	Земље које су данас позване неће бити последње.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c7fa26241b1b5c5a8caca97418075e1dcd45d5961120b2baeb8f47e6ea435c71	Међу учесницима је било и неколико предузетника.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
c80749b8a86e30d8dfd00d5c56a8e8c02c9bd3c0e12cd0b661bee8959f1dad41	Поведоше у град да уграде,			"""Serbian folk poem ""Zidanje skadra"""	1	0
c8110bbd8b49c43a228531e8ba32cdb3595f3c7ca60f529839978788c4620700	браон жути црни			мој цитат	1	0
c893e042564125568a5be05ab02155a48a1626d94567bd509d57c5a0f863785e	Још увијек није јасно како суд планира поступати након јула.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c8a087247c510788280668a139b81708de7483ff4a694e0564a6c98aad776ad9	 Подигни жалузине на педесет посто у трпезарији.		general	Self citation	1	0
c8b13139fda2ea5df34dca8511bf78944fe63a168fb6e894a864e7628c0a18f2	Приштина разбија исламске екстремисте по цијелој републици.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
c9c2c9b4691393adc258a913052cb4262973ad787e1acd919aab169421332a19	три пута три пута три плус три даје тридесет			мој цитат	1	0
c9f7c83e939c0823bf5800ad1a8a84a92b6acc30ac8d000b1f6a244bf56f34b3	Власти сјајним речима описују потенцијал земље.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
ca89712e4aa81262e172b8cda1fa3834dd065987d0c5b966dedbd2ba97839eb2	Болано се кандидовао се други мандат.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
cadfa57fd1da956e5f709e15c326eab429feacabd86fde9f26104eb71520c7ef	Он умаче у планину.			"""Serbian folk poem ""Otac"""	1	0
cbb0472d55655ddb321da27b170c3909b946adb7137e6cd85c0f58c96f833ca8	Приступићемо задацима веома одговорно.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
cc236a66d0eef0275040158edf6df36425fe2d69b0d75bdf666623cbd23820b8	Ти се сети да он за те			"""Serbian folk poem ""Otac"""	1	0
cd0ffff635cac462e14b9300f5dc1215dd0c164ed68cf78983f6dfdd8ef77286	Посвећени смо искорењавању спортских манипулација.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
ce0bea02b0ec45ef9760c88cd6c21a65ebeec1ca390390f1e1a4d41fccc16fc0	Да, о овом догађају писао је и Ћира Ранчић.			“Низ пиротску калдрму”	1	0
ce37a11b58a193a7c2aae635c7c6251905b7b6692e2d510ed909196f248c0c8b	Ексхумација је извршена и установило се да он није крив.			“Self Citation”	1	0
ce4ff602a037ba0ddcb0891192fbc34fcde0c1f70e2d20bbb432b45445b11415	Лепо пишем.			ја	1	0
ce655942c1a5b57f4bd6f0996515ca10c280f42c4223f13b1b47cbca29f93fba	За било какав откуп потребно је одобрење свих чланова вијећа.			SETimes corpus for Bosnian, transliterated to Cyrillic.	1	0
ce6836779db89e7b61745de180341c3be605c8d214c7053bb4dd5e731c455ab4	Пирот, град на Нишави			“Self Citation”	1	0
cf59f764412933983394319b1b135ca432d9aae0422b5c3f367bc994807cb059	Два ђевера Гојковице младе,			"""Serbian folk poem ""Zidanje skadra"""	1	0
cf8a94afa8fa109a9f0b855a92acb90c5ec5c0cf131dcf1afab63c46e47fddfe	Фотографије коња објављене су на многим местима.			SETimes, https://models.omnilingo.cc/sr/setimes.cand.Latn-Cyrl.txt	1	0
